Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type
01-03-2022 00:00:00;01-03-2022 01:00:00;4,35;KWH;Målt;Tidsserie
01-03-2022 01:00:00;01-03-2022 02:00:00;4,78;KWH;Målt;Tidsserie
01-03-2022 02:00:00;01-03-2022 03:00:00;4,01;KWH;Målt;Tidsserie
01-03-2022 03:00:00;01-03-2022 04:00:00;3,71;KWH;Målt;Tidsserie
01-03-2022 04:00:00;01-03-2022 05:00:00;5,02;KWH;Målt;Tidsserie
01-03-2022 05:00:00;01-03-2022 06:00:00;3,37;KWH;Målt;Tidsserie
01-03-2022 06:00:00;01-03-2022 07:00:00;3,17;KWH;Målt;Tidsserie
01-03-2022 07:00:00;01-03-2022 08:00:00;4,1;KWH;Målt;Tidsserie
01-03-2022 08:00:00;01-03-2022 09:00:00;3,35;KWH;Målt;Tidsserie
01-03-2022 09:00:00;01-03-2022 10:00:00;3,38;KWH;Målt;Tidsserie
01-03-2022 10:00:00;01-03-2022 11:00:00;3,42;KWH;Målt;Tidsserie
01-03-2022 11:00:00;01-03-2022 12:00:00;2,97;KWH;Målt;Tidsserie
01-03-2022 12:00:00;01-03-2022 13:00:00;2,56;KWH;Målt;Tidsserie
01-03-2022 13:00:00;01-03-2022 14:00:00;3,0;KWH;Målt;Tidsserie
01-03-2022 14:00:00;01-03-2022 15:00:00;2,21;KWH;Målt;Tidsserie
01-03-2022 15:00:00;01-03-2022 16:00:00;2,31;KWH;Målt;Tidsserie
01-03-2022 16:00:00;01-03-2022 17:00:00;2,73;KWH;Målt;Tidsserie
01-03-2022 17:00:00;01-03-2022 18:00:00;3,87;KWH;Målt;Tidsserie
01-03-2022 18:00:00;01-03-2022 19:00:00;2,81;KWH;Målt;Tidsserie
01-03-2022 19:00:00;01-03-2022 20:00:00;5,05;KWH;Målt;Tidsserie
01-03-2022 20:00:00;01-03-2022 21:00:00;4,64;KWH;Målt;Tidsserie
01-03-2022 21:00:00;01-03-2022 22:00:00;3,82;KWH;Målt;Tidsserie
01-03-2022 22:00:00;01-03-2022 23:00:00;5,57;KWH;Målt;Tidsserie
01-03-2022 23:00:00;02-03-2022 00:00:00;3,62;KWH;Målt;Tidsserie
02-03-2022 00:00:00;02-03-2022 01:00:00;4,86;KWH;Målt;Tidsserie
02-03-2022 01:00:00;02-03-2022 02:00:00;3,9;KWH;Målt;Tidsserie
02-03-2022 02:00:00;02-03-2022 03:00:00;4,45;KWH;Målt;Tidsserie
02-03-2022 03:00:00;02-03-2022 04:00:00;3,96;KWH;Målt;Tidsserie
02-03-2022 04:00:00;02-03-2022 05:00:00;2,99;KWH;Målt;Tidsserie
02-03-2022 05:00:00;02-03-2022 06:00:00;3,01;KWH;Målt;Tidsserie
02-03-2022 06:00:00;02-03-2022 07:00:00;3,62;KWH;Målt;Tidsserie
02-03-2022 07:00:00;02-03-2022 08:00:00;4,37;KWH;Målt;Tidsserie
02-03-2022 08:00:00;02-03-2022 09:00:00;3,49;KWH;Målt;Tidsserie
02-03-2022 09:00:00;02-03-2022 10:00:00;3,96;KWH;Målt;Tidsserie
02-03-2022 10:00:00;02-03-2022 11:00:00;3,12;KWH;Målt;Tidsserie
02-03-2022 11:00:00;02-03-2022 12:00:00;3,66;KWH;Målt;Tidsserie
02-03-2022 12:00:00;02-03-2022 13:00:00;2,65;KWH;Målt;Tidsserie
02-03-2022 13:00:00;02-03-2022 14:00:00;1,75;KWH;Målt;Tidsserie
02-03-2022 14:00:00;02-03-2022 15:00:00;2,04;KWH;Målt;Tidsserie
02-03-2022 15:00:00;02-03-2022 16:00:00;1,98;KWH;Målt;Tidsserie
02-03-2022 16:00:00;02-03-2022 17:00:00;3,64;KWH;Målt;Tidsserie
02-03-2022 17:00:00;02-03-2022 18:00:00;2,17;KWH;Målt;Tidsserie
02-03-2022 18:00:00;02-03-2022 19:00:00;2,96;KWH;Målt;Tidsserie
02-03-2022 19:00:00;02-03-2022 20:00:00;3,15;KWH;Målt;Tidsserie
02-03-2022 20:00:00;02-03-2022 21:00:00;3,0;KWH;Målt;Tidsserie
02-03-2022 21:00:00;02-03-2022 22:00:00;4,38;KWH;Målt;Tidsserie
02-03-2022 22:00:00;02-03-2022 23:00:00;4,92;KWH;Målt;Tidsserie
02-03-2022 23:00:00;03-03-2022 00:00:00;3,84;KWH;Målt;Tidsserie
03-03-2022 00:00:00;03-03-2022 01:00:00;4,89;KWH;Målt;Tidsserie
03-03-2022 01:00:00;03-03-2022 02:00:00;4,14;KWH;Målt;Tidsserie
03-03-2022 02:00:00;03-03-2022 03:00:00;3,78;KWH;Målt;Tidsserie
03-03-2022 03:00:00;03-03-2022 04:00:00;5,1;KWH;Målt;Tidsserie
03-03-2022 04:00:00;03-03-2022 05:00:00;3,72;KWH;Målt;Tidsserie
03-03-2022 05:00:00;03-03-2022 06:00:00;3,31;KWH;Målt;Tidsserie
03-03-2022 06:00:00;03-03-2022 07:00:00;3,15;KWH;Målt;Tidsserie
03-03-2022 07:00:00;03-03-2022 08:00:00;3,4;KWH;Målt;Tidsserie
03-03-2022 08:00:00;03-03-2022 09:00:00;3,65;KWH;Målt;Tidsserie
03-03-2022 09:00:00;03-03-2022 10:00:00;3,15;KWH;Målt;Tidsserie
03-03-2022 10:00:00;03-03-2022 11:00:00;2,51;KWH;Målt;Tidsserie
03-03-2022 11:00:00;03-03-2022 12:00:00;2,4;KWH;Målt;Tidsserie
03-03-2022 12:00:00;03-03-2022 13:00:00;2,25;KWH;Målt;Tidsserie
03-03-2022 13:00:00;03-03-2022 14:00:00;1,15;KWH;Målt;Tidsserie
03-03-2022 14:00:00;03-03-2022 15:00:00;1,53;KWH;Målt;Tidsserie
03-03-2022 15:00:00;03-03-2022 16:00:00;1,74;KWH;Målt;Tidsserie
03-03-2022 16:00:00;03-03-2022 17:00:00;2,72;KWH;Målt;Tidsserie
03-03-2022 17:00:00;03-03-2022 18:00:00;2,71;KWH;Målt;Tidsserie
03-03-2022 18:00:00;03-03-2022 19:00:00;2,76;KWH;Målt;Tidsserie
03-03-2022 19:00:00;03-03-2022 20:00:00;3,64;KWH;Målt;Tidsserie
03-03-2022 20:00:00;03-03-2022 21:00:00;2,99;KWH;Målt;Tidsserie
03-03-2022 21:00:00;03-03-2022 22:00:00;5,67;KWH;Målt;Tidsserie
03-03-2022 22:00:00;03-03-2022 23:00:00;4,67;KWH;Målt;Tidsserie
03-03-2022 23:00:00;04-03-2022 00:00:00;4,53;KWH;Målt;Tidsserie
04-03-2022 00:00:00;04-03-2022 01:00:00;5,0;KWH;Målt;Tidsserie
04-03-2022 01:00:00;04-03-2022 02:00:00;4,0;KWH;Målt;Tidsserie
04-03-2022 02:00:00;04-03-2022 03:00:00;2,78;KWH;Målt;Tidsserie
04-03-2022 03:00:00;04-03-2022 04:00:00;3,57;KWH;Målt;Tidsserie
04-03-2022 04:00:00;04-03-2022 05:00:00;2,89;KWH;Målt;Tidsserie
04-03-2022 05:00:00;04-03-2022 06:00:00;3,7;KWH;Målt;Tidsserie
04-03-2022 06:00:00;04-03-2022 07:00:00;3,98;KWH;Målt;Tidsserie
04-03-2022 07:00:00;04-03-2022 08:00:00;3,45;KWH;Målt;Tidsserie
04-03-2022 08:00:00;04-03-2022 09:00:00;4,2;KWH;Målt;Tidsserie
04-03-2022 09:00:00;04-03-2022 10:00:00;3,86;KWH;Målt;Tidsserie
04-03-2022 10:00:00;04-03-2022 11:00:00;2,19;KWH;Målt;Tidsserie
04-03-2022 11:00:00;04-03-2022 12:00:00;2,93;KWH;Målt;Tidsserie
04-03-2022 12:00:00;04-03-2022 13:00:00;1,69;KWH;Målt;Tidsserie
04-03-2022 13:00:00;04-03-2022 14:00:00;1,9;KWH;Målt;Tidsserie
04-03-2022 14:00:00;04-03-2022 15:00:00;2,48;KWH;Målt;Tidsserie
04-03-2022 15:00:00;04-03-2022 16:00:00;1,92;KWH;Målt;Tidsserie
04-03-2022 16:00:00;04-03-2022 17:00:00;3,39;KWH;Målt;Tidsserie
04-03-2022 17:00:00;04-03-2022 18:00:00;3,51;KWH;Målt;Tidsserie
04-03-2022 18:00:00;04-03-2022 19:00:00;2,42;KWH;Målt;Tidsserie
04-03-2022 19:00:00;04-03-2022 20:00:00;3,0;KWH;Målt;Tidsserie
04-03-2022 20:00:00;04-03-2022 21:00:00;2,62;KWH;Målt;Tidsserie
04-03-2022 21:00:00;04-03-2022 22:00:00;3,28;KWH;Målt;Tidsserie
04-03-2022 22:00:00;04-03-2022 23:00:00;3,89;KWH;Målt;Tidsserie
04-03-2022 23:00:00;05-03-2022 00:00:00;3,98;KWH;Målt;Tidsserie
05-03-2022 00:00:00;05-03-2022 01:00:00;4,54;KWH;Målt;Tidsserie
05-03-2022 01:00:00;05-03-2022 02:00:00;3,72;KWH;Målt;Tidsserie
05-03-2022 02:00:00;05-03-2022 03:00:00;4,13;KWH;Målt;Tidsserie
05-03-2022 03:00:00;05-03-2022 04:00:00;4,52;KWH;Målt;Tidsserie
05-03-2022 04:00:00;05-03-2022 05:00:00;2,2;KWH;Målt;Tidsserie
05-03-2022 05:00:00;05-03-2022 06:00:00;3,25;KWH;Målt;Tidsserie
05-03-2022 06:00:00;05-03-2022 07:00:00;3,3;KWH;Målt;Tidsserie
05-03-2022 07:00:00;05-03-2022 08:00:00;2,97;KWH;Målt;Tidsserie
05-03-2022 08:00:00;05-03-2022 09:00:00;2,75;KWH;Målt;Tidsserie
05-03-2022 09:00:00;05-03-2022 10:00:00;3,67;KWH;Målt;Tidsserie
05-03-2022 10:00:00;05-03-2022 11:00:00;2,47;KWH;Målt;Tidsserie
05-03-2022 11:00:00;05-03-2022 12:00:00;3,12;KWH;Målt;Tidsserie
05-03-2022 12:00:00;05-03-2022 13:00:00;2,12;KWH;Målt;Tidsserie
05-03-2022 13:00:00;05-03-2022 14:00:00;1,83;KWH;Målt;Tidsserie
05-03-2022 14:00:00;05-03-2022 15:00:00;3,05;KWH;Målt;Tidsserie
05-03-2022 15:00:00;05-03-2022 16:00:00;2,27;KWH;Målt;Tidsserie
05-03-2022 16:00:00;05-03-2022 17:00:00;3,07;KWH;Målt;Tidsserie
05-03-2022 17:00:00;05-03-2022 18:00:00;2,58;KWH;Målt;Tidsserie
05-03-2022 18:00:00;05-03-2022 19:00:00;2,13;KWH;Målt;Tidsserie
05-03-2022 19:00:00;05-03-2022 20:00:00;2,61;KWH;Målt;Tidsserie
05-03-2022 20:00:00;05-03-2022 21:00:00;2,91;KWH;Målt;Tidsserie
05-03-2022 21:00:00;05-03-2022 22:00:00;2,2;KWH;Målt;Tidsserie
05-03-2022 22:00:00;05-03-2022 23:00:00;2,76;KWH;Målt;Tidsserie
05-03-2022 23:00:00;06-03-2022 00:00:00;3,1;KWH;Målt;Tidsserie
06-03-2022 00:00:00;06-03-2022 01:00:00;2,27;KWH;Målt;Tidsserie
06-03-2022 01:00:00;06-03-2022 02:00:00;3,08;KWH;Målt;Tidsserie
06-03-2022 02:00:00;06-03-2022 03:00:00;2,71;KWH;Målt;Tidsserie
06-03-2022 03:00:00;06-03-2022 04:00:00;3,78;KWH;Målt;Tidsserie
06-03-2022 04:00:00;06-03-2022 05:00:00;2,41;KWH;Målt;Tidsserie
06-03-2022 05:00:00;06-03-2022 06:00:00;3,48;KWH;Målt;Tidsserie
06-03-2022 06:00:00;06-03-2022 07:00:00;3,26;KWH;Målt;Tidsserie
06-03-2022 07:00:00;06-03-2022 08:00:00;2,58;KWH;Målt;Tidsserie
06-03-2022 08:00:00;06-03-2022 09:00:00;3,23;KWH;Målt;Tidsserie
06-03-2022 09:00:00;06-03-2022 10:00:00;2,24;KWH;Målt;Tidsserie
06-03-2022 10:00:00;06-03-2022 11:00:00;2,55;KWH;Målt;Tidsserie
06-03-2022 11:00:00;06-03-2022 12:00:00;2,76;KWH;Målt;Tidsserie
06-03-2022 12:00:00;06-03-2022 13:00:00;2,08;KWH;Målt;Tidsserie
06-03-2022 13:00:00;06-03-2022 14:00:00;2,15;KWH;Målt;Tidsserie
06-03-2022 14:00:00;06-03-2022 15:00:00;2,26;KWH;Målt;Tidsserie
06-03-2022 15:00:00;06-03-2022 16:00:00;2,41;KWH;Målt;Tidsserie
06-03-2022 16:00:00;06-03-2022 17:00:00;3,34;KWH;Målt;Tidsserie
06-03-2022 17:00:00;06-03-2022 18:00:00;4,26;KWH;Målt;Tidsserie
06-03-2022 18:00:00;06-03-2022 19:00:00;2,97;KWH;Målt;Tidsserie
06-03-2022 19:00:00;06-03-2022 20:00:00;3,41;KWH;Målt;Tidsserie
06-03-2022 20:00:00;06-03-2022 21:00:00;3,6;KWH;Målt;Tidsserie
06-03-2022 21:00:00;06-03-2022 22:00:00;4,57;KWH;Målt;Tidsserie
06-03-2022 22:00:00;06-03-2022 23:00:00;4,63;KWH;Målt;Tidsserie
06-03-2022 23:00:00;07-03-2022 00:00:00;4,62;KWH;Målt;Tidsserie
07-03-2022 00:00:00;07-03-2022 01:00:00;4,37;KWH;Målt;Tidsserie
07-03-2022 01:00:00;07-03-2022 02:00:00;4,22;KWH;Målt;Tidsserie
07-03-2022 02:00:00;07-03-2022 03:00:00;4,02;KWH;Målt;Tidsserie
07-03-2022 03:00:00;07-03-2022 04:00:00;4,64;KWH;Målt;Tidsserie
07-03-2022 04:00:00;07-03-2022 05:00:00;3,36;KWH;Målt;Tidsserie
07-03-2022 05:00:00;07-03-2022 06:00:00;2,71;KWH;Målt;Tidsserie
07-03-2022 06:00:00;07-03-2022 07:00:00;3,1;KWH;Målt;Tidsserie
07-03-2022 07:00:00;07-03-2022 08:00:00;3,67;KWH;Målt;Tidsserie
07-03-2022 08:00:00;07-03-2022 09:00:00;3,26;KWH;Målt;Tidsserie
07-03-2022 09:00:00;07-03-2022 10:00:00;3,04;KWH;Målt;Tidsserie
07-03-2022 10:00:00;07-03-2022 11:00:00;2,14;KWH;Målt;Tidsserie
