sep=;
Dato;Værdi(KWh)
01-03-2022 00:00:00;4,350000
01-03-2022 01:00:00;4,780000
01-03-2022 02:00:00;4,010000
01-03-2022 03:00:00;3,710000
01-03-2022 04:00:00;5,020000
01-03-2022 05:00:00;3,370000
01-03-2022 06:00:00;3,170000
01-03-2022 07:00:00;4,100000
01-03-2022 08:00:00;3,350000
01-03-2022 09:00:00;3,380000
01-03-2022 10:00:00;3,420000
01-03-2022 11:00:00;2,970000
01-03-2022 12:00:00;2,560000
01-03-2022 13:00:00;3,000000
01-03-2022 14:00:00;2,210000
01-03-2022 15:00:00;2,310000
01-03-2022 16:00:00;2,730000
01-03-2022 17:00:00;3,870000
01-03-2022 18:00:00;2,810000
01-03-2022 19:00:00;5,050000
01-03-2022 20:00:00;4,640000
01-03-2022 21:00:00;3,820000
01-03-2022 22:00:00;5,570000
01-03-2022 23:00:00;3,620000
02-03-2022 00:00:00;4,860000
02-03-2022 01:00:00;3,900000
02-03-2022 02:00:00;4,450000
02-03-2022 03:00:00;3,960000
02-03-2022 04:00:00;2,990000
02-03-2022 05:00:00;3,010000
02-03-2022 06:00:00;3,620000
02-03-2022 07:00:00;4,370000
02-03-2022 08:00:00;3,490000
02-03-2022 09:00:00;3,960000
02-03-2022 10:00:00;3,120000
02-03-2022 11:00:00;3,660000
02-03-2022 12:00:00;2,650000
02-03-2022 13:00:00;1,750000
02-03-2022 14:00:00;2,040000
02-03-2022 15:00:00;1,980000
02-03-2022 16:00:00;3,640000
02-03-2022 17:00:00;2,170000
02-03-2022 18:00:00;2,960000
02-03-2022 19:00:00;3,150000
02-03-2022 20:00:00;3,000000
02-03-2022 21:00:00;4,380000
02-03-2022 22:00:00;4,920000
02-03-2022 23:00:00;3,840000
03-03-2022 00:00:00;4,890000
03-03-2022 01:00:00;4,140000
03-03-2022 02:00:00;3,780000
03-03-2022 03:00:00;5,100000
03-03-2022 04:00:00;3,720000
03-03-2022 05:00:00;3,310000
03-03-2022 06:00:00;3,150000
03-03-2022 07:00:00;3,400000
03-03-2022 08:00:00;3,650000
03-03-2022 09:00:00;3,150000
03-03-2022 10:00:00;2,510000
03-03-2022 11:00:00;2,400000
03-03-2022 12:00:00;2,250000
03-03-2022 13:00:00;1,150000
03-03-2022 14:00:00;1,530000
03-03-2022 15:00:00;1,740000
03-03-2022 16:00:00;2,720000
03-03-2022 17:00:00;2,710000
03-03-2022 18:00:00;2,760000
03-03-2022 19:00:00;3,640000
03-03-2022 20:00:00;2,990000
03-03-2022 21:00:00;5,670000
03-03-2022 22:00:00;4,670000
03-03-2022 23:00:00;4,530000
04-03-2022 00:00:00;5,000000
04-03-2022 01:00:00;4,000000
04-03-2022 02:00:00;2,780000
04-03-2022 03:00:00;3,570000
04-03-2022 04:00:00;2,890000
04-03-2022 05:00:00;3,700000
04-03-2022 06:00:00;3,980000
04-03-2022 07:00:00;3,450000
04-03-2022 08:00:00;4,200000
04-03-2022 09:00:00;3,860000
04-03-2022 10:00:00;2,190000
